Timestamp,EAR,Status
2025-05-25 16:00:07.558408,0.2,Drowsy
2025-05-25 16:00:52.774322,0.05,Drowsy
2025-05-25 16:00:53.349583,0.06,Drowsy
2025-05-25 16:00:53.926532,0.05,Drowsy
2025-05-25 16:00:54.517583,0.07,Drowsy
2025-05-25 16:01:02.418580,0.04,Drowsy
2025-05-25 16:01:03.022346,0.04,Drowsy
2025-05-25 16:01:03.642810,0.19,Drowsy
2025-05-25 16:01:04.234725,0.19,Drowsy
2025-05-25 16:08:13.751128,0.12,Drowsy
2025-05-25 16:08:14.327157,0.11,Drowsy
2025-05-25 16:08:14.904261,0.1,Drowsy
2025-05-25 16:08:15.479517,0.11,Drowsy
2025-05-25 16:08:16.088810,0.13,Drowsy
2025-05-25 16:08:16.665115,0.12,Drowsy
2025-05-25 16:08:18.784703,0.14,Drowsy
2025-05-25 16:08:19.387685,0.16,Drowsy
2025-05-25 16:08:19.979761,0.18,Drowsy
2025-05-25 16:08:33.644448,0.09,Drowsy
2025-05-25 16:08:34.265416,0.06,Drowsy
2025-05-25 16:08:34.840158,0.06,Drowsy
2025-05-25 16:12:37.910989,0.04,Drowsy
2025-05-25 16:12:38.496590,0.08,Drowsy
2025-05-25 16:12:39.074248,0.1,Drowsy
2025-05-25 16:12:39.695645,0.08,Drowsy
2025-05-25 16:12:40.287960,0.07,Drowsy
2025-05-25 16:12:40.878689,0.07,Drowsy
2025-05-25 16:12:41.468477,0.15,Drowsy
2025-05-25 16:12:42.055550,0.22,Drowsy
2025-05-25 16:13:06.046571,0.04,Drowsy
2025-05-25 16:13:06.641093,0.05,Drowsy
2025-05-25 16:13:07.231031,0.07,Drowsy
2025-05-25 16:13:07.821169,0.06,Drowsy
2025-05-25 16:13:08.425764,0.23,Drowsy
2025-05-25 16:13:09.034110,0.21,Drowsy
2025-05-25 16:13:09.624333,0.23,Drowsy
2025-05-25 16:13:10.198030,0.19,Drowsy
2025-05-25 16:13:10.789466,0.21,Drowsy
2025-05-25 16:13:11.365344,0.19,Drowsy
2025-05-25 16:13:11.958184,0.22,Drowsy
2025-05-25 16:13:12.565205,0.22,Drowsy
2025-05-25 16:13:13.155907,0.2,Drowsy
2025-05-25 16:13:13.732788,0.22,Drowsy
2025-05-25 16:14:22.775471,0.04,Drowsy
2025-05-25 16:14:23.350528,0.03,Drowsy
2025-05-25 16:14:23.939752,0.04,Drowsy
2025-05-25 16:14:24.555351,0.04,Drowsy
2025-05-25 16:14:25.144617,0.22,Drowsy
2025-05-25 16:14:25.752636,0.24,Drowsy
2025-05-25 16:14:26.327060,0.24,Drowsy
2025-05-25 16:14:26.953117,0.22,Drowsy
2025-05-25 16:14:27.547058,0.24,Drowsy
2025-05-25 16:14:28.156132,0.23,Drowsy
2025-05-25 16:14:28.743194,0.24,Drowsy
2025-05-25 16:19:57.522867,0.01,Drowsy
2025-05-25 16:19:58.136122,0.05,Drowsy
2025-05-25 16:19:58.745771,0.05,Drowsy
2025-05-25 16:19:59.364540,0.05,Drowsy
2025-05-25 16:21:10.769187,0.04,Drowsy
2025-05-25 16:21:11.361466,0.04,Drowsy
2025-05-25 16:21:11.952177,0.05,Drowsy
2025-05-25 16:21:12.546472,0.07,Drowsy
2025-05-25 16:21:50.714246,0.04,Drowsy
2025-05-25 16:21:51.292522,0.05,Drowsy
2025-05-25 16:21:51.882917,0.08,Drowsy
2025-05-25 16:21:52.476183,0.06,Drowsy
2025-05-25 16:21:53.068046,0.03,Drowsy
2025-05-25 16:21:53.660343,0.05,Drowsy
2025-05-25 16:22:01.868161,0.03,Drowsy
2025-05-25 16:22:02.461174,0.05,Drowsy
2025-05-25 18:22:01.472783,0.07,Drowsy
2025-05-25 18:22:02.157325,0.08,Drowsy
2025-05-25 18:22:02.732726,0.05,Drowsy
2025-05-25 18:22:03.297004,0.06,Drowsy
2025-05-25 18:22:03.867756,0.11,Drowsy
2025-05-25 18:22:04.460268,0.05,Drowsy
2025-05-25 18:22:05.031767,0.12,Drowsy
2025-05-25 18:22:05.621022,0.18,Drowsy
2025-05-25 18:22:06.199507,0.13,Drowsy
2025-05-26 11:14:54.223406,0.13,Drowsy
2025-05-26 11:14:54.829249,0.15,Drowsy
2025-05-26 11:14:55.434887,0.14,Drowsy
2025-05-26 11:14:56.026450,0.12,Drowsy
2025-05-26 11:15:04.277254,0.13,Drowsy
2025-05-26 11:15:04.883172,0.15,Drowsy
2025-05-26 11:15:05.475620,0.13,Drowsy
2025-05-26 11:15:06.051331,0.16,Drowsy
2025-05-26 11:17:20.451697,0.12,Drowsy
2025-05-26 11:17:21.027736,0.12,Drowsy
2025-05-26 11:17:21.599006,0.13,Drowsy
2025-05-26 11:17:22.190391,0.12,Drowsy
2025-05-26 11:17:22.754085,0.09,Drowsy
2025-05-26 11:17:23.342883,0.11,Drowsy
2025-05-26 11:18:01.524493,0.1,Drowsy
2025-05-26 11:18:02.121775,0.12,Drowsy
2025-05-26 11:18:02.711708,0.11,Drowsy
2025-05-26 11:18:03.285145,0.12,Drowsy
2025-05-26 11:18:03.875283,0.11,Drowsy
